epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,318.184,0.41276,6.8638,0.39712,0.36655,0.98912,0.93327,1,0.98642,0.85358,0.33565,0.36667,0.1669,0.03769,0.4749,5.72808,0.5162,0.44835,0.75424,0.00134,0.00134,0.00134
42,325.879,0.45293,6.79349,0.391,0.38919,1.02418,0.98581,1,0.995,0.88067,0.1641,0.16667,0.03636,0.00793,0.49673,7.07619,0.58245,0.39874,0.76272,0.0013235,0.0013235,0.0013235
43,333.514,0.4385,6.92479,0.40336,0.37768,1.00623,0.99532,1,0.995,0.89205,0.45242,0.5,0.26027,0.04949,0.57263,5.50104,0.5038,0.47675,0.8118,0.001307,0.001307,0.001307
44,341.206,0.46997,6.73116,0.39252,0.39806,1.02009,0.9877,1,0.995,0.86768,0.25735,0.26667,0.12606,0.02315,0.52359,5.70047,0.49206,0.48203,0.80346,0.0012905,0.0012905,0.0012905
45,348.736,0.42517,6.56612,0.37838,0.38183,1.01355,0.96689,1,0.995,0.94321,0.45117,0.46667,0.29312,0.04533,0.36634,5.50289,0.49988,0.30871,0.64037,0.001274,0.001274,0.001274
46,356.425,0.39544,6.53949,0.38083,0.36212,0.98561,0.99818,1,0.995,0.96943,0.26617,0.26667,0.17917,0.04146,0.36166,5.51413,0.48081,0.29579,0.64686,0.0012575,0.0012575,0.0012575
47,364.443,0.39815,6.26598,0.38364,0.34213,0.97813,0.99819,1,0.995,0.92789,0.36618,0.36667,0.18641,0.02825,0.50196,5.75914,0.48792,0.40105,0.75969,0.001241,0.001241,0.001241
48,372.133,0.39851,6.5472,0.38009,0.34924,0.9895,0.99811,1,0.995,0.94801,0.46656,0.46667,0.40959,0.08458,0.38625,5.23609,0.48195,0.30098,0.66075,0.0012245,0.0012245,0.0012245
49,380.165,0.37619,6.18619,0.38136,0.33733,0.97085,0.99705,1,0.995,0.94678,0.333,0.33333,0.19265,0.03009,0.36597,5.37407,0.50079,0.31734,0.64319,0.001208,0.001208,0.001208
50,387.863,0.3887,6.19664,0.38194,0.35104,0.98003,0.99613,1,0.995,0.94815,0.63259,0.63333,0.5482,0.13254,0.41205,4.89506,0.50001,0.33474,0.65454,0.0011915,0.0011915,0.0011915
51,395.902,0.3682,6.00914,0.37751,0.33623,0.96875,0.99317,1,0.995,0.95881,0.49628,0.5,0.30649,0.06078,0.37977,5.11619,0.46657,0.28974,0.64618,0.001175,0.001175,0.001175
52,403.606,0.37348,6.15381,0.37034,0.33962,0.97579,0.99691,1,0.995,0.9446,0.56445,0.56667,0.39096,0.09522,0.35981,5.09089,0.48701,0.30384,0.65608,0.0011585,0.0011585,0.0011585
53,411.223,0.35491,6.08263,0.37145,0.33304,0.96502,0.99801,1,0.995,0.9359,0.63207,0.63333,0.47147,0.08502,0.36172,5.23806,0.50584,0.26223,0.65057,0.001142,0.001142,0.001142
54,418.902,0.34971,5.89992,0.36936,0.32433,0.96665,0.99818,1,0.995,0.95414,0.59888,0.6,0.45014,0.11669,0.32871,5.24092,0.48196,0.27918,0.6124,0.0011255,0.0011255,0.0011255
55,426.512,0.34633,5.66791,0.35766,0.3224,0.9574,0.99803,1,0.995,0.95351,0.76513,0.76667,0.62968,0.13875,0.32807,4.65364,0.48355,0.28355,0.61432,0.001109,0.001109,0.001109
56,434.64,0.34594,5.95073,0.3573,0.32981,0.96626,0.99805,1,0.995,0.93622,0.6321,0.63333,0.44277,0.08379,0.39342,4.73245,0.51134,0.30189,0.68873,0.0010925,0.0010925,0.0010925
57,442.28,0.36793,5.98965,0.35981,0.33844,0.96796,0.99487,1,0.995,0.92991,0.7959,0.8,0.6945,0.18248,0.3748,4.46533,0.47284,0.30429,0.67649,0.001076,0.001076,0.001076
58,450.379,0.34777,5.95187,0.35179,0.33696,0.94517,0.9981,1,0.995,0.94,0.46578,0.46667,0.30346,0.05651,0.37856,5.19917,0.4848,0.2921,0.66627,0.0010595,0.0010595,0.0010595
59,458.006,0.37748,6.09991,0.35821,0.33871,0.96899,0.99804,1,0.995,0.95202,0.63209,0.63333,0.44699,0.11407,0.35549,4.69004,0.50689,0.28911,0.64064,0.001043,0.001043,0.001043
60,465.698,0.35429,5.72462,0.3527,0.33292,0.96419,0.99794,1,0.995,0.94365,0.53223,0.53333,0.36868,0.08125,0.37835,4.89341,0.4768,0.26966,0.6523,0.0010265,0.0010265,0.0010265
61,473.329,0.36348,5.87102,0.35552,0.32135,0.97163,0.99764,1,0.995,0.93795,0.6651,0.66667,0.54403,0.11868,0.39571,4.58192,0.44718,0.28585,0.66187,0.00101,0.00101,0.00101
62,481.051,0.33996,5.74403,0.35589,0.31312,0.96571,0.99792,1,0.995,0.94145,0.64467,0.66528,0.62297,0.15321,0.38398,4.56943,0.46026,0.28531,0.66582,0.0009935,0.0009935,0.0009935
63,488.68,0.36125,5.58244,0.35024,0.3266,0.96841,0.99814,1,0.995,0.94802,0.73197,0.73333,0.63616,0.14567,0.38684,4.43077,0.46803,0.30273,0.65821,0.000977,0.000977,0.000977
64,496.39,0.34288,5.43743,0.34666,0.32757,0.95204,0.99814,1,0.995,0.93836,0.53232,0.53333,0.37543,0.09024,0.39488,4.72278,0.46756,0.28232,0.68558,0.0009605,0.0009605,0.0009605
65,504.028,0.34599,5.34572,0.34059,0.32239,0.9513,0.99804,1,0.995,0.9405,0.76516,0.76667,0.64991,0.14565,0.38842,4.43544,0.49543,0.26882,0.68821,0.000944,0.000944,0.000944
66,511.721,0.34363,5.47714,0.3449,0.32022,0.94676,0.99803,1,0.995,0.97063,0.73252,0.73333,0.64883,0.12623,0.38236,4.89234,0.49292,0.26874,0.66953,0.0009275,0.0009275,0.0009275
67,519.341,0.35827,5.70183,0.34963,0.33222,0.9699,0.99786,1,0.995,0.94774,0.83155,0.83333,0.77981,0.18709,0.37377,4.40896,0.45623,0.28304,0.65849,0.000911,0.000911,0.000911
68,527.438,0.3226,5.36,0.34776,0.30626,0.9358,0.99802,1,0.995,0.93575,0.69861,0.7,0.53817,0.12724,0.32245,4.56855,0.47597,0.248,0.61658,0.0008945,0.0008945,0.0008945
69,535.083,0.36953,5.52042,0.34094,0.33694,0.97852,0.99809,1,0.995,0.95213,0.69866,0.7,0.58441,0.10903,0.33777,4.43379,0.43879,0.25025,0.61879,0.000878,0.000878,0.000878
70,542.797,0.32298,5.25278,0.3365,0.30878,0.96374,0.99813,1,0.995,0.93801,0.76524,0.76667,0.69993,0.1521,0.37443,4.32645,0.43256,0.27348,0.67311,0.0008615,0.0008615,0.0008615
71,550.433,0.31766,5.16615,0.32614,0.30266,0.93582,0.9982,1,0.995,0.92738,0.66544,0.66667,0.50567,0.14172,0.39208,4.29839,0.43719,0.28285,0.68552,0.000845,0.000845,0.000845
72,558.13,0.32153,5.37002,0.32931,0.30204,0.95518,0.99817,1,0.995,0.93393,0.69895,0.7,0.63369,0.12068,0.39064,4.66465,0.49065,0.26762,0.6736,0.0008285,0.0008285,0.0008285
73,565.768,0.32569,5.21979,0.34069,0.30763,0.95974,0.99819,1,0.995,0.95636,0.86506,0.86667,0.78698,0.21962,0.3631,4.25278,0.45429,0.28214,0.64869,0.000812,0.000812,0.000812
74,573.867,0.2946,5.01284,0.33381,0.28216,0.92915,0.99384,1,0.995,0.93658,0.71392,0.83187,0.75203,0.21805,0.34453,4.09104,0.43807,0.36916,0.62662,0.0007955,0.0007955,0.0007955
75,581.52,0.30331,4.98198,0.33506,0.29497,0.93452,0.99464,1,0.995,0.95431,0.79562,0.8,0.69806,0.22648,0.36383,4.14206,0.43489,0.30123,0.65566,0.000779,0.000779,0.000779
76,589.615,0.33103,5.01328,0.33276,0.30733,0.9459,0.99823,1,0.995,0.94379,0.86513,0.86667,0.85333,0.2299,0.41918,3.95635,0.42567,0.29504,0.70418,0.0007625,0.0007625,0.0007625
77,597.251,0.3203,4.81715,0.33771,0.30487,0.93941,0.99825,1,0.995,0.94292,0.83202,0.83333,0.80561,0.24483,0.37841,4.00223,0.45078,0.25888,0.66523,0.000746,0.000746,0.000746
78,605.251,0.32361,4.8874,0.32189,0.30771,0.95841,0.99818,1,0.995,0.94795,0.86509,0.86667,0.79961,0.19847,0.35006,3.96962,0.43616,0.26154,0.64296,0.0007295,0.0007295,0.0007295
79,612.888,0.32377,5.0012,0.32564,0.31306,0.96082,0.99815,1,0.995,0.95032,0.83179,0.83333,0.744,0.19278,0.33739,4.13675,0.43584,0.27418,0.62739,0.000713,0.000713,0.000713
80,620.587,0.30479,4.91358,0.3255,0.29194,0.94976,0.99807,1,0.995,0.94757,0.69873,0.7,0.58095,0.147,0.37427,4.1479,0.45716,0.26104,0.67176,0.0006965,0.0006965,0.0006965
81,628.202,0.30875,4.92605,0.32471,0.30108,0.94483,0.99813,1,0.995,0.89851,0.83177,0.83333,0.76104,0.21648,0.42764,4.004,0.47312,0.35314,0.70419,0.00068,0.00068,0.00068
82,635.893,0.30447,4.90453,0.32801,0.29668,0.93899,0.9981,1,0.995,0.9523,0.73194,0.73333,0.60795,0.16505,0.36796,4.09731,0.44878,0.27483,0.64442,0.0006635,0.0006635,0.0006635
