epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,36216.6,0.94911,0.75388,0.9359,0.75824,0.79758,0.81744,0.58172,0.86886,0.66378,0.91825,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,36923.1,0.94963,0.75117,0.93437,0.75996,0.79678,0.81717,0.5817,0.86895,0.66414,0.91827,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,37627.5,0.94958,0.75157,0.93586,0.76147,0.79566,0.81701,0.58202,0.86894,0.66424,0.91822,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,38333.6,0.94719,0.74805,0.93455,0.76278,0.79549,0.81722,0.58197,0.86896,0.66445,0.91824,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,39038.1,0.94943,0.74815,0.93469,0.76492,0.79295,0.81733,0.58178,0.86891,0.66457,0.91832,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,39744.7,0.94594,0.74287,0.93483,0.76343,0.79421,0.81713,0.58163,0.86881,0.66444,0.91824,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,40450.1,0.94637,0.7422,0.93346,0.76567,0.79181,0.81743,0.5817,0.86869,0.66457,0.91814,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,41159.2,0.94524,0.73969,0.93345,0.76654,0.79168,0.81713,0.58168,0.86869,0.6648,0.91812,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,41889.2,0.94656,0.73467,0.93557,0.76982,0.78789,0.81729,0.58199,0.86858,0.66476,0.91819,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,42594.7,0.94608,0.73593,0.9362,0.77056,0.78631,0.81741,0.58213,0.86854,0.66515,0.91825,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,43297.7,0.94735,0.73247,0.93364,0.77124,0.78769,0.81779,0.58239,0.86836,0.66494,0.91815,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,44003.5,0.9419,0.72657,0.93234,0.76886,0.79081,0.81783,0.58261,0.86831,0.66504,0.91813,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,44709.3,0.94519,0.72719,0.93274,0.77219,0.78812,0.81783,0.58266,0.86829,0.66505,0.91805,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,45416.3,0.94272,0.72005,0.93161,0.77703,0.78327,0.81844,0.5829,0.86817,0.66528,0.91798,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,46123.8,0.94025,0.71697,0.93082,0.77548,0.78426,0.81813,0.58304,0.86808,0.66543,0.91793,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,46831.9,0.94347,0.71872,0.93229,0.77746,0.7833,0.8185,0.5832,0.86806,0.66556,0.91791,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,47539.2,0.94341,0.71857,0.93344,0.77473,0.7836,0.81834,0.58327,0.86806,0.66577,0.91785,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,48246.8,0.94176,0.71212,0.93173,0.77573,0.78335,0.81844,0.58322,0.86793,0.66599,0.91781,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,48954.3,0.94207,0.71318,0.9313,0.77491,0.78336,0.81901,0.58327,0.86788,0.66626,0.91771,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,49657.6,0.93842,0.70667,0.93174,0.77829,0.78168,0.81897,0.58298,0.86769,0.66688,0.9176,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,50377.3,0.94361,0.70751,0.93394,0.77945,0.78257,0.81891,0.58311,0.86759,0.66722,0.91764,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,51083.4,0.94065,0.70641,0.93257,0.77946,0.78341,0.81874,0.58302,0.86761,0.6677,0.91765,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,51798.5,0.93752,0.70277,0.93176,0.77841,0.78445,0.81824,0.58278,0.86758,0.66827,0.91758,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,52511.1,0.93856,0.70037,0.93131,0.78002,0.78141,0.81822,0.58286,0.86733,0.66849,0.91746,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,53224.8,0.9388,0.69838,0.93025,0.78195,0.7792,0.81805,0.58286,0.86739,0.6689,0.91742,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,53936.3,0.93501,0.69483,0.92991,0.7832,0.77841,0.81856,0.58318,0.86761,0.66917,0.91749,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,54653,0.93801,0.69509,0.92958,0.78457,0.77713,0.81828,0.58292,0.8676,0.66976,0.91746,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,55367.9,0.93727,0.69436,0.93063,0.77655,0.78595,0.81822,0.58297,0.86753,0.67028,0.91741,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,56080.5,0.93588,0.68847,0.92782,0.7777,0.78421,0.81792,0.58301,0.86742,0.67077,0.91727,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,56793.2,0.93797,0.6869,0.92986,0.77514,0.78702,0.81803,0.58325,0.86735,0.67158,0.91725,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,57506.8,0.93943,0.68725,0.93023,0.77489,0.7863,0.81733,0.58302,0.86743,0.67219,0.91727,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,58219.6,0.93657,0.68647,0.92991,0.77351,0.78747,0.81699,0.58293,0.86761,0.67275,0.91727,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,58935,0.93466,0.68266,0.92946,0.77278,0.78894,0.81697,0.58295,0.86772,0.67323,0.91729,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,59650.2,0.93686,0.68026,0.92902,0.77595,0.78604,0.81725,0.58285,0.8679,0.67397,0.91735,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,60360,0.93666,0.67409,0.92954,0.77471,0.78855,0.81724,0.58273,0.86784,0.67457,0.91731,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,61054.4,0.93585,0.6764,0.92828,0.77307,0.7894,0.81718,0.5829,0.86787,0.67523,0.91722,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,61768.1,0.93211,0.66994,0.92755,0.77287,0.78925,0.81652,0.58251,0.86782,0.67604,0.9172,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
